bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId,id
45.0,COMPLETE_PARTNER_RECEIPT,2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,50.0,2021-01-04,1.0,FINISHED,1.0,5ff47392c3d63511e2a47881,5ff473ad0a7214ada10005c3
25.0,COMPLETE_NONPARTNER_RECEIPT,2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,25.0,2021-02-05,1.0,FINISHED,1.0,5ff4ce33c3d63511e2a484b6,5ff4ce640a7214ada10005e0
300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,300.0,2021-01-04,2.0,FINISHED,29.0,5ff4ce3dc3d63511e2a484dc,5ff4ce3f0a720f05230005c6
500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,500.0,2021-01-04,2.0,FINISHED,1.0,5ff4ce33c3d63511e2a484b6,5ff4ce4e0a7214ada10005da
0.0,No purchases,2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,91.2,2021-01-04,4.0,FINISHED,18.2,5ff47392c3d63511e2a47881,5ff473bc0a720f05230005b8
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,750.0,2020-12-29,2.0,FINISHED,34.96,5fbc35711d967d1222cbfefc,5ff4a80e0a720f05230005c2
5.0,All-receipts receipt bonus,2021-01-06,2021-01-06,2021-01-06,2021-01-06,2021-01-06,5.0,2020-12-21,1.0,FINISHED,1.0,5ff5d15aeb7c7d12096d91a2,5ff5d1da0a7214ada10005f8
300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-06,2021-01-06,2021-01-06,2021-01-06,2021-01-06,825.0,2021-01-06,5.0,FINISHED,25.0,5ff5d15aeb7c7d12096d91a2,5ff5d1d40a7214ada10005f4
45.0,COMPLETE_PARTNER_RECEIPT,2021-01-06,2021-01-06,2021-01-06,2021-01-06,2021-01-06,50.0,2021-01-05,1.0,FINISHED,1.0,54943462e4b07e684157a532,5ff5d1a00a7214ada10005ed
0.0,No purchases,2021-01-06,2021-01-06,,2021-01-06,,0.0,,0.0,SUBMITTED,0.0,5a43c08fe4b014fd6b6a0612,5ff5ecb90a7214ada10005f9
45.0,COMPLETE_PARTNER_RECEIPT,2021-01-06,2021-01-06,2021-01-06,2021-01-06,2021-01-06,50.0,2021-01-05,1.0,FINISHED,1.0,5ff5d15aeb7c7d12096d91a2,5ff5d1e20a720f05230005da
5.0,All-receipts receipt bonus,2021-01-06,2021-01-06,2021-01-06,2021-01-06,2021-01-06,5.0,2020-12-26,5.0,FINISHED,49.95,5ff5d15aeb7c7d12096d91a2,5ff5d1e10a720f05230005d9
5.0,All-receipts receipt bonus,2021-01-06,2021-01-06,2021-01-06,2021-01-06,2021-01-06,55.0,2021-01-05,9.0,FINISHED,89.91,5ff5d15aeb7c7d12096d91a2,5ff5d1fd0a720f05230005de
100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-06,2021-01-06,2021-01-06,2021-01-06,2021-01-06,225.0,2021-01-03,5.0,FINISHED,25.0,5ff5d15aeb7c7d12096d91a2,5ff5d1d80a7214ada10005f6
45.0,COMPLETE_PARTNER_RECEIPT,2021-01-06,2021-01-06,2021-01-06,2021-01-06,2021-01-06,50.0,2021-01-05,1.0,FINISHED,1.0,54943462e4b07e684157a532,5ff5d19d0a7214ada10005ec
5.0,All-receipts receipt bonus,2021-01-06,2021-01-06,2021-01-06,2021-01-06,2021-01-06,5.0,2021-01-05,4.0,FINISHED,18.2,5ff5d15aeb7c7d12096d91a2,5ff5d1f20a720f05230005db
5.0,All-receipts receipt bonus,2021-01-06,2021-01-06,2021-01-06,2021-01-06,2021-01-06,5.0,2021-01-05,1.0,FINISHED,1.0,5ff5d15aeb7c7d12096d91a2,5ff5d1dc0a720f05230005d6
