barcode,category,categoryCode,name,topBrand,brandCode,id,cpg_type,cpg_id
511111703778,unknown,UNKNOWN,NOS,,NOS,5332f753e4b03c9a25efd10f,Cpgs,5332f5ebe4b03c9a25efd0a8
511111400486,Snacks,SNACKS,SPITZ,,SPITZ,5a4d250ce4b0d5c3fd86b67b,Cogs,5332f5fbe4b03c9a25efd0ba
511111405535,Snacks,SNACKS,IMAGINE,,IMAGINE,5d9d0270a60b87376833e347,Cogs,5332f5fbe4b03c9a25efd0ba
511111905196,unknown,UNKNOWN,BETTER HOMES AND GARDENS Special Edition Magazine - Food ,,BETTER HOMES AND GARDENS SPECIAL EDITION MAGAZINE - FOOD ,5d658fd1a3a018514994f431,Cogs,53e10d6368abd3c7065097cc
511111215332,Candy & Sweets,CANDY_AND_SWEETS,test brand @1597342520969,,TEST BRANDCODE @1597342520969,5f358338be37ce443bf9d55c,Cogs,5332fa12e4b03c9a25efd1e7
511111900986,Beer Wine Spirits,BEER_WINE_SPIRITS,Steel Reserve Alloy Series,0.0,,58b599fee4b0857c2ddb7256,Cogs,5332f709e4b03c9a25efd0f1
511111800156,Beer Wine Spirits,BEER_WINE_SPIRITS,Tusk & Grain,,TUSK & GRAIN,5a5d278de4b0db471c2d042f,Cogs,5332f709e4b03c9a25efd0f1
511111103370,Beer Wine Spirits,BEER_WINE_SPIRITS,Redd's Apple Ale,0.0,REDD'S ALE,5332f7eee4b03c9a25efd15e,Cogs,5332f709e4b03c9a25efd0f1
511111104469,Snacks,SNACKS,Lance,0.0,LANCE,5afda18ee4b0c11cfecd49f5,Cogs,5a734034e4b0d58f376be874
511111104186,Grocery,GROCERY,Pacific Foods,0.0,PACIFIC FOODS,5a8c363ce4b0ccf165fac9e7,Cogs,5a734034e4b0d58f376be874
511111606376,Dairy,DAIRY,Yoplait® Dunkers,,YOPLAIT DUNKERS,5dd557081dda2c1971449a7a,Cogs,5332f5f3e4b03c9a25efd0ae
511111603641,unknown,UNKNOWN,Fiber One,,FIBER ONE,5332f774e4b03c9a25efd126,Cpgs,5332f5f3e4b03c9a25efd0ae
511111415855,Baking,BAKING,test brand @1598554813705,,TEST BRANDCODE @1598554813705,5f4802bdbe37ce0c8303373f,Cogs,5f4802bdbe37ce0c8303373c
511111800590,Canned Goods & Soups,CANNED_GOODS_AND_SOUPS,LIPTON Soup,0.0,LIPTON SOUP,5a021703e4b00efe02b02a58,Cogs,5332f5f6e4b03c9a25efd0b4
511111406341,Breakfast & Cereal,BREAKFAST_AND_CEREAL,Minions™ Cereal,,MINIONS CEREAL,5dc2da1fa60b873d6b0666d3,Cogs,53e10d6368abd3c7065097cc
511111504856,Household,HOUSEHOLD,LOVE HOME AND PLANET,,LOVE HOME AND PLANET,5d2f69a6a3a01810a2174aec,Cogs,5332f5f6e4b03c9a25efd0b4
511111015185,Baking,BAKING,test brand @1595968943012,,TEST BRANDCODE @1595968943012,5f208dafbe37ce7958c59522,Cogs,5f208daebe37ce7958c59520
511111715276,Health & Wellness,HEALTHY_AND_WELLNESS,OneTouch®,,ONETOUCH,5f2336cfbe37ce7958c5952c,Cogs,5f036ccc2455c947fde9362f
511111015536,Baking,BAKING,test brand @1597935986247,,TEST BRANDCODE @1597935986248,5f3e9172be37ce5a0e01b953,Cogs,5f3e9172be37ce5a0e01b952
511111902690,Dairy,DAIRY,Kraft,0.0,KRAFT,55a41b88e4b0d0a65b3692f0,Cogs,559c2234e4b06aca36af13c6
511111906124,Breakfast & Cereal,BREAKFAST_AND_CEREAL,Basic 4™,,BASIC 4,5daf70071dda2c3e1416ae9e,Cogs,5332f5f3e4b03c9a25efd0ae
511111804116,Canned Goods & Soups,CANNED_GOODS_AND_SOUPS,Wolfgang Puck,0.0,WOLFGANG PUCK,5a8c31bfe4b0ccf165fac9e4,Cogs,5a734034e4b0d58f376be874
511111516842,Baking,BAKING,test brand @1601659120828,,TEST BRANDCODE @1601659120828,5f7760f0be37ce1d26d7b7a5,Cogs,5f7760f0be37ce1d26d7b7a2
511111317159,Baking,BAKING,test brand @1603925787441,,TEST BRANDCODE @1603925787441,5f99f71bbe37ce13da9eadea,Cogs,5f99f71bbe37ce13da9eade6
511111704218,Breakfast & Cereal,BREAKFAST_AND_CEREAL,The Soulfull Project,,THE SOULFUL PROJECT,5a8c378ce4b07f0a2dac8946,Cogs,53e10d6368abd3c7065097cc
511111815945,Candy & Sweets,CANDY_AND_SWEETS,test brand @1598633602924,,TEST BRANDCODE @1598633602924,5f493682be37ce52f8314fd0,Cogs,5332fa12e4b03c9a25efd1e7
511111901860,Baking,BAKING,Dream Whip,0.0,DREAM WHIP,580dff97e4b0f32b2de21381,Cogs,559c2234e4b06aca36af13c6
511111815457,Baking,BAKING,test brand @1597527951461,,TEST BRANDCODE @1597527951461,5f38578fbe37ce5178517ad7,Cogs,5f38578fbe37ce5178517ad3
511111718123,Baking,BAKING,test brand @1607639231623,0.0,TEST BRANDCODE @1607639231623,5fd2a0bfbe37ce49eb72c0f0,Cogs,5fd2a0bfbe37ce49eb72c0ef
511111903062,unknown,UNKNOWN,Brew Pub,,BREW PUB,5332fa6be4b03c9a25efd217,Cpgs,5332fa12e4b03c9a25efd1e7
511111104254,Snacks,SNACKS,Kjeldsen,0.0,KJELDSEN,5a8f64c6e4b0a2e2844f5695,Cogs,5a734034e4b0d58f376be874
511111316046,Baking,BAKING,test brand @1598635435896,,TEST BRANDCODE @1598635435896,5f493dabbe37ce64d0ae36bd,Cogs,5f493dabbe37ce64d0ae36ba
511111602040,Dairy,DAIRY,Kraft Cheese,0.0,,57ebc134e4b0ac389136a33d,Cogs,559c2234e4b06aca36af13c6
511111316602,Baking,BAKING,test brand @1599849713772,,TEST BRANDCODE @1599849713773,5f5bc4f1be37ce17125ac0ea,Cogs,5f5bc4f1be37ce17125ac0e8
511111418092,Candy & Sweets,CANDY_AND_SWEETS,test brand @1607636369405,0.0,TEST BRANDCODE @1607636369405,5fd29591be37ce38bbbefb2a,Cogs,5332fa12e4b03c9a25efd1e7
511111916727,Baking,BAKING,test brand @1601644363827,,TEST BRANDCODE @1601644363827,5f77274bbe37ce6b592e90bc,Cogs,5f77274bbe37ce6b592e90b9
511111904175,Grocery,GROCERY,Pepperidge Farm,0.0,PEPPERIDGE FARM,5a8c35dde4b0ccf165fac9e6,Cogs,5a734034e4b0d58f376be874
511111803720,unknown,UNKNOWN,Honest Tea,,HONEST TEA,5332f760e4b03c9a25efd11a,Cpgs,5332f5ebe4b03c9a25efd0a8
511111315889,Baking,BAKING,test brand @1598554834882,,TEST BRAND @1598554834882,5f4802d2be37ce0c83033743,Cogs,5f4802d2be37ce0c83033742
511111919803,Baking,BAKING,test brand @1611088503689,0.0,TEST BRANDCODE @1611088503689,60074277be37ce360be639ff,Cogs,60074277be37ce360be639fe
511111203278,Snacks,SNACKS,Pringles,,PRINGLES,5332f9f0e4b03c9a25efd1c3,Cpgs,5332f5f2e4b03c9a25efd0aa
511111917328,Baking,BAKING,test brand @1605535020580,0.0,TEST BRANDCODE @1605535020580,5fb2852cbe37ce522e165cb0,Cogs,5fb2852cbe37ce522e165cae
511111601395,Beer Wine Spirits,BEER_WINE_SPIRITS,Miller High Life,0.0,MILLER HIGH LIFE,58861c7e4e8d0d20bc42c4e3,Cogs,5332f709e4b03c9a25efd0f1
511111101451,Breakfast & Cereal,BREAKFAST_AND_CEREAL,Quaker,0.0,QUAKER,585b0b23e4b03e62d1ce0e99,Cogs,53e10d6368abd3c7065097cc
511111703334,unknown,UNKNOWN,All Natural,,ALL NATURAL,5332f7ffe4b03c9a25efd16a,Cpgs,5332f7ffe4b03c9a25efd16b
511111705727,Health & Wellness,HEALTH_AND_WELLNESS,Claritin® KIDS,,511111705727,5da608291dda2c3e1416ae8b,Cogs,53e10d6368abd3c7065097cc
511111302414,Dairy,DAIRY,Athenos,0.0,ATHENOS,57d848efe4b0ac389136a2aa,Cogs,559c2234e4b06aca36af13c6
511111916512,Baking,BAKING,test brand @1599159969028,,TEST BRANDCODE @1599159969028,5f513ea1be37ce21f1287c03,Cogs,5f513ea0be37ce21f1287c01
511111815389,Baking,BAKING,test brand @1597350074404,,TEST BRANDCODE @1597350074404,5f35a0babe37ce6853cff201,Cogs,5f35a0babe37ce6853cff1fd
511111100065,Beauty & Personal Care,BEAUTY_AND_PERSONAL_CARE,Sedal,,SEDAL,5a5d2c1fe4b06ba572cf24a8,Cogs,53e10d6368abd3c7065097cc
511111404958,Snacks,SNACKS,Red Rock Deli Chips,0.0,RED ROCK DELI,5d603537a3a018514994f424,Cogs,5332f5fbe4b03c9a25efd0ba
